0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
151.85,150.45000000000002,177.10000000000002,176.05,174.70000000000002,173.35000000000002,175.20000000000002,174.45000000000002,174.10000000000002,172.10000000000002,170.55,169.25,206.45000000000002,205.3,204.60000000000002,204.4,204.15,203.5,203.35000000000002,202.25,201.5,204.75,203.75,203.25,201.05,198.45000000000002,196.10000000000002,195.5,195.0,190.70000000000002,189.45000000000002,188.95000000000002,185.70000000000002,185.35000000000002,184.8,183.45000000000002,180.85000000000002,179.05,180.15,180.05,179.75,179.15,181.35000000000002,177.95000000000002,175.9,175.60000000000002,174.05,190.05,188.45000000000002,187.9,187.4,186.55,185.95000000000002,183.75,183.15,182.20000000000002,181.60000000000002,180.85000000000002,217.95000000000002,250.25,262.65000000000003,260.55,259.45,258.5,258.3,257.95,257.55,256.75,255.10000000000002,253.8,253.10000000000002,251.3,250.3,249.3,248.95000000000002,248.4,247.9,247.65,245.8,243.55,242.45000000000002,242.0,241.4,240.95000000000002,240.35000000000002,238.3,237.60000000000002,236.60000000000002,236.3,236.15,234.85000000000002,232.75,231.5,230.4,230.10000000000002,229.55,228.95000000000002,236.35000000000002,234.9,234.35000000000002,231.4,231.20000000000002,230.5,229.95000000000002,229.8,228.95000000000002,228.4,228.10000000000002,227.4,227.3,226.55,226.0,224.85000000000002,224.70000000000002,224.55,223.45000000000002,222.9,221.4,221.4,217.95000000000002,215.85000000000002,215.10000000000002,211.35000000000002,205.5,204.4,204.4,204.10000000000002,203.15,200.85000000000002,200.5,197.9,197.85000000000002,254.15,250.10000000000002,247.05,245.55,242.55,242.4,241.70000000000002,241.3,239.0,238.65,236.15,234.95000000000002,232.45000000000002,230.95000000000002,230.65,228.70000000000002,228.10000000000002,227.35000000000002,224.75,223.8,221.55,219.8,219.35000000000002,218.25,233.60000000000002,231.55,230.9,230.05,229.75,229.05,228.45000000000002,227.0,225.85000000000002,225.10000000000002,224.95000000000002,224.55,222.60000000000002,222.55,221.75,221.15,220.95000000000002,220.85000000000002,220.4,219.75,219.3,218.9,217.8,217.70000000000002,215.55,213.95000000000002,213.65,210.85000000000002,210.20000000000002,209.60000000000002,209.05,207.4,206.3,205.20000000000002,203.55,202.4,223.65,221.5,221.10000000000002,220.25,219.5,221.45000000000002,220.20000000000002,219.70000000000002,217.70000000000002,217.60000000000002,217.3,215.3,215.0,214.15,214.0,213.5,220.9,237.55,235.4,235.15,233.35000000000002,231.8,230.85000000000002,228.9,228.55,227.95000000000002,227.8,226.85000000000002,226.5,225.95000000000002,224.75,227.10000000000002,222.60000000000002,221.70000000000002,219.8,218.45000000000002,216.60000000000002,215.55,214.75,214.35000000000002,214.20000000000002,211.85000000000002,209.8,208.60000000000002,206.65,204.65,202.9,202.35000000000002,201.10000000000002,199.55,199.0,198.65,197.85000000000002,207.4,206.5,204.5,215.35000000000002,214.60000000000002,212.85000000000002,211.25,211.0,209.85000000000002,208.45000000000002,207.5,204.25,203.70000000000002,290.75,289.6,287.65000000000003,285.90000000000003,285.5,285.25,284.6,283.65000000000003,283.40000000000003,281.90000000000003,280.55,279.55,277.55,277.35,277.0,276.6,276.2,274.7,274.45,274.25,273.2,272.3,268.5,268.25,265.90000000000003,265.85,264.55,264.1,263.90000000000003,263.85,262.8,262.85,262.5,261.6,261.0,261.05,259.7,257.35,257.25,257.2,256.3,255.20000000000002,252.4,251.8,250.35000000000002,249.60000000000002,249.05,247.0,245.60000000000002,270.75,270.40000000000003,270.05,268.35,267.8,266.8,266.65000000000003,266.25,266.1,265.7,265.45,264.85,263.90000000000003,262.95,262.3,261.65000000000003,261.2,261.1,259.1,258.6,258.1,255.35000000000002,255.5,255.3,255.10000000000002,275.7,275.25,272.40000000000003,271.6,271.35,271.05,270.8,270.6,269.75,268.40000000000003,267.95,267.6,267.1,266.75,263.45,261.75,261.65000000000003,261.40000000000003,261.1,260.8,260.15000000000003,259.35,259.1,257.75,257.8,257.05,256.2,256.15000000000003,255.70000000000002,255.3,251.20000000000002,249.60000000000002,244.45000000000002,243.4,242.20000000000002,242.05,240.8,240.65,241.05,239.75,239.9,238.35000000000002,242.95000000000002,242.45000000000002,242.05,241.10000000000002,239.60000000000002,237.5,236.60000000000002,236.3,236.10000000000002,235.0,233.35000000000002,232.0,231.35000000000002,229.70000000000002,229.20000000000002,228.95000000000002,227.3,227.3,227.15,223.75,223.05,220.95000000000002,219.85000000000002,218.70000000000002,218.20000000000002,212.15,206.70000000000002,206.20000000000002,205.70000000000002,205.55,205.5,205.15,204.8,204.75,202.4,202.3,200.4,199.10000000000002,198.0,197.85000000000002,222.95000000000002,222.8,221.95000000000002,220.70000000000002,219.3,217.75,216.3,216.05,224.10000000000002,223.75,222.10000000000002,221.85000000000002,220.15,218.95000000000002,217.95000000000002,217.65,217.4,217.20000000000002,216.8,214.75,214.05,213.05,212.8,211.45000000000002,211.10000000000002,210.55,205.5,205.3,204.70000000000002,204.0,203.0,201.95000000000002,201.8,201.60000000000002,199.65,198.70000000000002,197.5,196.75,195.9,194.5,193.3,191.10000000000002,277.6,275.0,274.65000000000003,274.25,273.85,273.55,272.3,272.15000000000003,271.65000000000003,271.5,271.15000000000003,270.7,270.35,267.55,265.45,264.35,260.75,259.75,258.5,257.5,257.2,256.6,256.35,256.15000000000003,254.0,250.70000000000002,249.8,249.10000000000002,248.55,248.4,247.3,246.9,246.3,244.85000000000002,244.0,243.8,242.75,239.60000000000002,239.35000000000002,238.95000000000002,237.35000000000002,237.4,236.15,235.05
140.35,143.4,137.8,141.85,150.45000000000002,154.9,141.45000000000002,138.8,144.95000000000002,139.6,135.55,173.10000000000002,171.95000000000002,167.15,163.65,156.8,149.15,152.20000000000002,146.55,158.60000000000002,135.8,135.65,136.85,131.85,156.9,190.70000000000002,179.0,189.10000000000002,182.75,143.55,178.25,175.55,163.05,147.9,160.10000000000002,153.0,138.20000000000002,141.25,144.75,145.35,163.5,151.65,150.55,175.3,155.85000000000002,144.85,148.65,164.35000000000002,152.0,150.05,151.75,147.35,175.4,173.8,154.75,159.5,149.4,152.0,146.95000000000002,145.4,143.3,143.65,187.55,187.0,141.85,173.05,138.35,152.05,137.1,129.75,129.5,137.6,137.95000000000002,143.5,144.65,143.75,157.25,156.95000000000002,249.0,244.15,218.85000000000002,251.75,204.20000000000002,251.4,169.65,245.8,167.25,244.95000000000002,230.4,207.15,200.25,165.75,152.8,185.4,152.55,149.4,153.5,145.05,151.5,144.15,146.15,217.70000000000002,137.35,147.9,135.8,135.20000000000002,154.35000000000002,152.1,196.70000000000002,154.5,136.9,134.4,204.4,208.5,167.95000000000002,168.85000000000002,210.3,175.85000000000002,172.05,277.3,163.9,277.0,162.85000000000002,276.75,153.5,274.0,145.15,144.05,272.85,131.95000000000002,263.6,134.75,261.90000000000003,171.05,263.75,259.35,259.3,258.0,256.40000000000003,253.15,252.8,252.5,251.60000000000002,142.20000000000002,249.10000000000002,206.95000000000002,238.05,224.65,224.25,207.45000000000002,236.9,235.20000000000002,234.8,234.60000000000002,231.25,230.45000000000002,224.55,224.45000000000002,221.05,214.85000000000002,136.4,186.95000000000002,221.95000000000002,204.60000000000002,135.55,183.45000000000002,156.25,133.15,157.4,126.60000000000001,126.35000000000001,136.6,215.3,209.45000000000002,135.45000000000002,130.55,247.60000000000002,238.05,234.95000000000002,233.15,232.20000000000002,231.15,129.95000000000002,228.4,226.0,225.55,126.75,222.65,220.3,219.4,217.9,171.60000000000002,219.05,218.95000000000002,134.55,223.45000000000002,223.15,203.95000000000002,218.65,217.70000000000002,141.55,212.20000000000002,140.25,187.85000000000002,187.05,182.65,167.3,158.0,156.5,155.95000000000002,193.60000000000002,192.3,188.55,187.85000000000002,161.0,147.0,158.0,164.45000000000002,147.6,148.20000000000002,172.55,142.45000000000002,140.3,172.25,157.25,155.9,157.05,148.1,147.9,146.65,147.45000000000002,148.85,195.65,202.0,154.75,152.3,162.45000000000002,150.15,142.35,140.95000000000002,143.8,137.20000000000002,165.15,164.4,163.20000000000002,163.05,160.15,159.9,157.15,154.15,151.6,150.8,246.70000000000002,149.0,141.0,244.70000000000002,138.75,133.95000000000002,133.25,197.45000000000002,139.45000000000002,155.10000000000002,135.35,158.3,135.3,136.6,137.5,135.75,133.9,133.85,125.0,130.45000000000002,296.95,290.7,287.90000000000003,287.35,284.7,284.25,280.55,279.8,279.8,279.75,279.3,278.5,278.40000000000003,276.65000000000003,276.90000000000003,218.45000000000002,276.5,275.55,257.2,247.15,265.0,262.25,261.65000000000003,261.2,260.85,258.6,132.95000000000002,257.75,139.1,141.20000000000002,257.90000000000003,257.85,257.85,258.5,258.90000000000003,249.45000000000002,255.8,252.55,252.10000000000002,252.4,259.35,259.40000000000003,257.0,256.75,150.4,139.05,254.4,257.1,255.70000000000002,249.20000000000002,249.35000000000002,248.0,145.45000000000002,248.3,245.85000000000002,146.05,244.3,248.4,249.75,256.05,150.6,145.20000000000002,144.05,134.70000000000002,143.95000000000002,131.25,142.55,140.65,268.55,268.0,149.8,136.20000000000002,137.45000000000002,138.20000000000002,263.8,272.90000000000003,272.90000000000003,271.95,270.45,270.05,264.15000000000003,264.15000000000003,261.6,262.75,264.7,271.25,274.55,158.5,149.65,146.15,144.35,140.4,137.0,167.75,134.75,137.6,132.45000000000002,132.05,268.7,271.0,274.3,268.95,294.5,211.45000000000002,292.65000000000003,209.55,288.2,286.95,281.3,276.3,276.8,277.5,269.65000000000003,275.35,218.15,270.8,154.65,163.70000000000002,169.0,154.05,270.65000000000003,278.25,272.35,168.5,178.45000000000002,163.95000000000002,271.45,176.70000000000002,257.35,280.15000000000003,277.35,187.20000000000002,183.95000000000002,181.70000000000002,255.45000000000002,172.15,176.25,181.45000000000002,191.70000000000002,193.55,251.15,259.55,253.5,243.20000000000002,258.85,291.1,270.45,270.7,266.45,252.10000000000002,237.35000000000002,189.55,260.2,297.75,261.6,281.65000000000003,291.15000000000003,278.95,279.0,306.55,268.0,263.75,291.6,291.35,294.35,221.35000000000002,282.6,274.85,263.05,280.95,261.1,261.1,252.70000000000002,276.1,278.0,275.45,251.10000000000002,259.85,253.05,270.3,263.05,258.0,292.6,254.9,289.0,340.85,276.7,312.20000000000005,246.55,239.95000000000002,304.3,306.0,276.45,281.85,279.6,244.55,295.2,295.95,298.0,257.6,292.7,290.45,232.45000000000002,275.25,246.25,318.25,308.40000000000003,281.15000000000003,271.65000000000003,291.25,288.90000000000003,238.3,264.45,264.15000000000003,246.70000000000002,303.45,268.0,282.7,276.75,292.25,271.55,286.3,297.45,318.95000000000005,311.95000000000005,310.70000000000005,301.55,305.45
114.45,115.0,116.5,119.60000000000001,123.2,118.60000000000001,127.2,130.8,120.30000000000001,122.55000000000001,140.95000000000002,136.25,138.35,132.85,124.5,145.85,153.9,151.35,134.85,141.05,137.35,136.65,135.25,129.5,143.35,142.1,130.65,161.3,153.05,134.55,131.95000000000002,127.2,119.45,140.20000000000002,124.75,165.55,166.65,165.85000000000002,165.05,166.05,136.1,163.8,134.25,163.75,162.55,161.55,164.15,124.0,162.70000000000002,159.95000000000002,158.55,158.5,156.4,152.35,132.35,125.0,111.65,134.5,131.20000000000002,162.35000000000002,161.35000000000002,157.9,156.15,155.8,150.85,150.55,149.1,135.1,134.0,132.35,142.4,144.20000000000002,187.20000000000002,122.55000000000001,186.9,141.55,146.5,145.65,129.8,139.95000000000002,202.95000000000002,197.25,139.65,124.60000000000001,195.25,194.55,167.3,138.35,161.05,136.4,174.25,136.05,167.05,149.35,142.6,163.0,129.65,143.3,128.9,136.4,127.45,209.3,137.1,209.3,209.15,206.60000000000002,206.5,205.65,205.75,205.10000000000002,202.15,191.3,197.9,172.60000000000002,192.3,171.65,186.65,164.70000000000002,177.20000000000002,167.4,127.7,152.05,117.60000000000001,156.85000000000002,152.9,208.65,208.0,205.65,204.10000000000002,203.05,198.05,196.4,195.55,195.5,192.60000000000002,168.55,159.9,134.75,139.0,143.75,150.15,134.9,132.05,208.3,207.5,155.15,206.60000000000002,204.65,202.75,202.55,156.70000000000002,202.45000000000002,201.95000000000002,201.60000000000002,198.05,196.8,191.75,185.70000000000002,180.9,180.3,179.4,170.35000000000002,177.10000000000002,120.4,155.4,138.45000000000002,142.25,162.25,143.1,152.15,133.6,128.85,128.3,126.35000000000001,128.3,126.7,119.65,190.3,231.0,230.10000000000002,228.70000000000002,225.60000000000002,219.75,219.5,216.4,208.65,218.45000000000002,149.3,218.10000000000002,148.8,204.95000000000002,204.85000000000002,204.35000000000002,195.75,194.4,195.9,196.70000000000002,187.95000000000002,187.55,186.4,190.20000000000002,190.05,183.95000000000002,140.25,183.9,183.75,179.5,180.55,178.20000000000002,150.3,182.70000000000002,180.9,120.30000000000001,181.25,179.85000000000002,147.85,192.3,122.0,165.70000000000002,150.05,182.15,174.5,155.65,186.05,117.5,184.3,175.20000000000002,174.3,173.25,174.85000000000002,149.75,146.6,172.15,142.85,141.20000000000002,169.20000000000002,143.15,168.8,140.8,139.3,169.65,167.35000000000002,168.60000000000002,144.75,147.3,150.25,137.55,139.5,136.15,135.75,134.95000000000002,131.85,138.4,145.55,258.35,256.85,256.5,146.45000000000002,255.25,146.15,254.75,142.35,252.75,142.45000000000002,252.25,137.6,247.3,235.10000000000002,232.9,227.20000000000002,223.3,217.3,216.5,212.75,223.3,210.70000000000002,197.4,224.05,197.4,197.25,175.3,172.5,172.75,170.05,162.55,126.4,126.7,210.9,193.8,192.55,194.70000000000002,192.9,174.4,172.3,142.8,153.45000000000002,142.20000000000002,119.85000000000001,272.6,271.6,199.05,271.40000000000003,270.90000000000003,270.45,270.3,270.15000000000003,268.65000000000003,265.05,264.15000000000003,262.25,262.75,260.75,259.90000000000003,259.90000000000003,163.4,256.85,256.55,169.65,256.35,250.15,164.45000000000002,250.20000000000002,260.95,234.15,259.45,255.05,249.75,250.60000000000002,235.8,227.15,153.8,235.25,142.35,216.0,197.35000000000002,194.85000000000002,139.1,145.35,202.25,243.10000000000002,223.05,213.85000000000002,167.60000000000002,183.45000000000002,244.70000000000002,223.4,221.20000000000002,132.70000000000002,207.70000000000002,177.9,229.8,175.0,208.85000000000002,180.75,164.95000000000002,167.4,164.85000000000002,160.9,159.95000000000002,154.60000000000002,135.6,152.6,152.6,266.75,266.7,265.95,265.75,262.0,260.8,260.6,258.0,254.10000000000002,253.5,253.70000000000002,236.55,253.55,228.75,253.45000000000002,251.3,252.10000000000002,250.0,204.15,247.9,203.8,150.3,245.4,160.70000000000002,143.25,243.3,248.15,245.15,243.9,237.25,210.20000000000002,236.35000000000002,235.55,161.9,234.15,150.85,237.60000000000002,222.5,193.05,169.60000000000002,158.05,163.4,159.4,168.55,163.60000000000002,236.20000000000002,160.60000000000002,164.05,164.70000000000002,173.60000000000002,166.25,222.3,240.5,248.20000000000002,243.35000000000002,246.20000000000002,246.15,245.9,244.5,227.25,243.10000000000002,176.9,238.20000000000002,183.0,239.3,237.70000000000002,231.15,187.0,235.3,232.70000000000002,232.95000000000002,226.15,232.45000000000002,191.10000000000002,232.15,245.4,237.10000000000002,188.25,239.10000000000002,212.05,216.0,216.70000000000002,218.20000000000002,220.95000000000002,260.8,259.7,237.70000000000002,259.65000000000003,255.05,254.60000000000002,236.60000000000002,239.10000000000002,199.65,252.3,260.3,218.65,259.5,257.45,253.85000000000002,214.3,210.5,252.5,238.5,214.3,251.4,225.9,238.05,259.35,250.75,250.5,247.4,244.4,242.45000000000002,243.65,258.65000000000003,253.10000000000002,249.10000000000002,247.9,249.05,247.70000000000002,285.25,262.5,255.25,286.7,235.75,243.95000000000002,252.5,268.25,280.05,259.0,279.1,254.15,273.85,265.3,309.1,312.1,294.85
126.30000000000001,120.95,129.25,139.15,135.15,135.20000000000002,128.9,128.15,118.7,128.9,122.4,135.3,117.05000000000001,150.20000000000002,149.4,142.8,142.35,135.45000000000002,135.20000000000002,134.0,127.55000000000001,113.45,115.10000000000001,116.7,116.25,123.65,132.20000000000002,160.75,158.55,157.60000000000002,138.85,130.85,124.95,131.4,139.8,138.6,124.45,148.25,124.15,114.95,168.60000000000002,164.45000000000002,164.20000000000002,163.20000000000002,138.9,170.65,169.85000000000002,167.45000000000002,165.75,165.10000000000002,143.20000000000002,165.9,164.5,152.5,115.25,162.3,161.55,143.75,156.3,155.05,153.8,123.45,172.10000000000002,127.65,172.05,171.5,167.5,166.10000000000002,166.0,162.65,164.55,157.10000000000002,121.0,151.0,118.65,146.95000000000002,142.25,144.1,128.45000000000002,182.9,145.55,190.55,189.75,187.55,169.20000000000002,167.85000000000002,165.25,156.45000000000002,155.25,159.35000000000002,159.0,133.65,134.8,146.20000000000002,146.5,141.55,140.15,132.4,145.0,142.95000000000002,188.5,125.35000000000001,125.25,188.25,127.45,160.35000000000002,163.10000000000002,148.1,142.75,135.35,141.8,125.25,123.2,133.25,216.95000000000002,216.70000000000002,142.70000000000002,188.10000000000002,184.0,142.70000000000002,180.4,204.70000000000002,175.35000000000002,171.70000000000002,127.05000000000001,170.55,169.0,158.65,157.05,147.55,155.75,140.8,155.15,174.75,132.20000000000002,129.75,128.1,227.95000000000002,164.8,226.3,159.5,225.95000000000002,164.75,151.5,225.60000000000002,225.0,152.0,223.3,222.4,141.45000000000002,222.0,138.35,221.4,153.20000000000002,220.85000000000002,220.65,126.45,219.85000000000002,216.20000000000002,215.15,211.45000000000002,214.65,213.85000000000002,131.1,213.15,208.8,205.4,117.9,203.10000000000002,148.55,199.60000000000002,147.20000000000002,198.5,144.75,196.45000000000002,148.05,200.05,194.95000000000002,196.70000000000002,125.80000000000001,191.3,176.75,178.70000000000002,191.5,171.85000000000002,166.75,173.20000000000002,172.20000000000002,169.4,201.65,200.10000000000002,190.65,168.95000000000002,145.3,169.8,168.10000000000002,168.75,160.60000000000002,158.35000000000002,125.2,156.4,154.25,160.15,151.05,150.25,157.10000000000002,148.25,136.75,144.70000000000002,129.05,143.35,129.6,143.3,148.1,141.45000000000002,114.15,123.75,144.9,151.45000000000002,241.60000000000002,240.9,240.75,123.2,240.05,135.1,135.95000000000002,240.95000000000002,232.70000000000002,134.20000000000002,131.85,231.3,234.3,140.9,237.25,137.95000000000002,135.4,137.15,133.4,134.45000000000002,243.55,242.15,157.15,239.9,227.9,224.95000000000002,240.65,223.95000000000002,221.95000000000002,171.65,212.3,162.65,147.3,219.55,158.45000000000002,157.60000000000002,156.70000000000002,158.95000000000002,150.45000000000002,139.20000000000002,138.35,179.0,145.9,165.35000000000002,132.45000000000002,170.05,128.85,123.45,150.1,182.60000000000002,160.8,181.20000000000002,178.35000000000002,169.5,175.35000000000002,168.10000000000002,160.35000000000002,152.20000000000002,150.9,167.35000000000002,168.8,148.85,166.35000000000002,144.5,146.6,137.20000000000002,134.05,132.55,134.0,139.20000000000002,172.0,160.20000000000002,154.10000000000002,170.8,160.8,155.20000000000002,156.95000000000002,253.20000000000002,149.8,143.5,142.55,141.95000000000002,158.85000000000002,157.65,156.8,281.7,162.9,279.6,174.95000000000002,178.95000000000002,277.90000000000003,275.5,274.45,274.25,271.7,271.5,155.45000000000002,200.20000000000002,200.5,154.45000000000002,165.35000000000002,201.20000000000002,153.95000000000002,189.65,161.45000000000002,186.8,158.65,186.0,156.95000000000002,272.15000000000003,272.40000000000003,190.70000000000002,189.4,174.65,190.0,172.95000000000002,187.70000000000002,171.0,170.45000000000002,185.75,179.10000000000002,274.7,167.3,268.3,168.60000000000002,265.6,168.60000000000002,162.95000000000002,260.90000000000003,186.70000000000002,179.95000000000002,179.20000000000002,175.95000000000002,163.45000000000002,162.60000000000002,163.05,277.75,251.20000000000002,251.15,269.8,256.40000000000003,173.0,287.3,178.45000000000002,284.7,283.15000000000003,278.65000000000003,277.25,176.0,273.35,253.75,264.65000000000003,263.55,195.8,260.0,177.85000000000002,200.10000000000002,259.2,275.65000000000003,271.3,264.85,243.10000000000002,262.65000000000003,186.0,261.6,186.10000000000002,263.35,260.75,248.60000000000002,283.3,239.20000000000002,188.20000000000002,266.0,244.9,284.95,187.85000000000002,266.1,261.3,240.65,235.45000000000002,248.10000000000002,280.55,300.2,198.05,289.45,202.10000000000002,220.25,235.8,209.8,207.75,291.5,206.55,216.10000000000002,229.75,209.85000000000002,283.35,219.0,260.90000000000003,264.0,216.10000000000002,220.85000000000002,281.5,255.70000000000002,279.35,276.7,224.3,273.85,253.8,260.7,267.55,318.65000000000003,216.0,311.6,286.25,255.0,281.1,216.15,219.15,288.25,281.8,232.0,281.8,242.15,288.1,257.85,226.55,273.5,273.35,269.35,229.55,277.05,299.75,264.65000000000003,281.65000000000003,300.85,238.85000000000002,259.35,280.05,253.5,248.8,290.90000000000003,285.65000000000003,289.6,285.40000000000003,276.8,296.2,290.05,311.20000000000005,264.95,352.8,334.0,251.60000000000002,270.45,299.75,303.25,289.8,301.25,319.8,272.8,301.7,325.55,281.85,324.25,372.45000000000005,291.90000000000003,365.45000000000005,350.85,349.20000000000005,313.70000000000005,347.05,301.8,276.75,334.75,334.85,349.25,318.90000000000003,332.40000000000003,312.45000000000005,342.0,340.55,366.40000000000003
